date,E-Today(KWH)
16-11-2024,8
17-11-2024,40
18-11-2024,39
19-11-2024,39
19-11-2024,39
19-11-2024,39
19-11-2024,39
19-11-2024,39
19-11-2024,39
20-11-2024,36
21-11-2024,32
22-11-2024,28
23-11-2024,20
23-11-2024,20
23-11-2024,20
23-11-2024,20
23-11-2024,20
23-11-2024,20
23-11-2024,20
23-11-2024,20
24-11-2024,31
25-11-2024,35
26-11-2024,28
26-11-2024,28
26-11-2024,28
26-11-2024,28
26-11-2024,28
26-11-2024,28
26-11-2024,28
26-11-2024,28
27-11-2024,25
27-11-2024,25
27-11-2024,25
27-11-2024,25
27-11-2024,25
27-11-2024,25
28-11-2024,28
29-11-2024,7
30-11-2024,34
01-12-2024,23
02-12-2024,24
02-12-2024,24
02-12-2024,24
02-12-2024,24
02-12-2024,24
02-12-2024,24
02-12-2024,24
02-12-2024,24
03-12-2024,33
04-12-2024,35
05-12-2024,34
06-12-2024,33
07-12-2024,29
08-12-2024,27
09-12-2024,37
10-12-2024,30
11-12-2024,30
12-12-2024,30
13-12-2024,30
14-12-2024,23
15-12-2024,23
16-12-2024,26
17-12-2024,23
17-12-2024,23
17-12-2024,23
17-12-2024,23
17-12-2024,23
17-12-2024,23
17-12-2024,23
17-12-2024,23
18-12-2024,14
19-12-2024,22
20-12-2024,22
20-12-2024,22
20-12-2024,22
20-12-2024,22
20-12-2024,22
20-12-2024,22
20-12-2024,22
20-12-2024,22
20-12-2024,22
20-12-2024,22
21-12-2024,20
22-12-2024,18
23-12-2024,20
24-12-2024,20
25-12-2024,25
26-12-2024,25
27-12-2024,18
28-12-2024,21
29-12-2024,22
30-12-2024,26
30-12-2024,26
31-12-2024,11
31-12-2024,11
31-12-2024,11
31-12-2024,11
01-01-2025,17
02-01-2025,14
02-01-2025,14
02-01-2025,14
02-01-2025,14
03-01-2025,25
03-01-2025,25
04-01-2025,7
05-01-2025,30
06-01-2025,38
07-01-2025,36
07-01-2025,36
07-01-2025,36
07-01-2025,36
08-01-2025,38
09-01-2025,37
10-01-2025,29
10-01-2025,29
10-01-2025,29
10-01-2025,29
10-01-2025,29
10-01-2025,29
10-01-2025,29
10-01-2025,29
11-01-2025,28
12-01-2025,26
13-01-2025,32
13-01-2025,32
14-01-2025,18
15-01-2025,24
15-01-2025,24
15-01-2025,24
15-01-2025,24
15-01-2025,24
15-01-2025,24
15-01-2025,24
15-01-2025,24
15-01-2025,24
15-01-2025,24
16-01-2025,26
17-01-2025,25
17-01-2025,25
17-01-2025,25
17-01-2025,25
17-01-2025,25
17-01-2025,25
17-01-2025,25
17-01-2025,25
17-01-2025,25
17-01-2025,25
